name,price
Manta Ray Gaming Chair High-Back Racing Style With Pu Leather Bucket Seat 360 Swivel With Heavy Duty Steel Can Hold Upto 150Kg Headrest Lumbar Support Steel 5 Star Base Compatible With E-Sports Color Red&Black ,199.00
"Anker 20W Fast Charger with Foldable Plug, PowerPort III 20W Cube Charger For iPhone 13/13 Mini/13 Pro/13 Pro Max/12, Galaxy, Pixel 4/3, iPad/ iPad mini, And More White ",37.00
Apple AirTag Pack of 1 White ,95.00
PXN 900 Degree Double Vibration Racing Steering Wheel With Shifter For PC/PS3/PS4/Xbox One/Series/Switch - wired ,459.00
"Samsung 27 inch Flat Monitor With FHD (1920X1080) Display, 3-sided borderless design, IPS, With Refresh Rate 75Hz, 5ms Response Time, AMD FreeSync Black ",389.00
Sony DualSense Wireless Controller for PlayStation 5- Cosmic Red (International Version) ,217.00
"Manta Ray Heavy Duty Steel High-Back Racing Style With Pu Leather Bucket Seat Headrest, Lumbar Support, Steel 13-Star Base , Compatible With E-Sports Chair color Blue and Black ",199.00
Apple AirPods Pro With MagSafe Charging Case 2021 White ,759.00
Apple iPhone 14 Pro Max 128GB Deep Purple 5G With FaceTime - International Version ,3899.00
JBL Tune 110 Wired In-Ear Headphones - Deep Pure Bass - 1-Button Remote - Tangle Free Cable - Ultra Comfort Fit Black ,22.00
Apple iPhone 14 Pro Max 256GB Space Black 5G With FaceTime - Middle East Version ,4399.00
Apple iPhone 14 Pro Max 256GB Deep Purple 5G With FaceTime - Middle East Version ,4399.00
"Apple Macbook Air MGN63 13"" Display, Apple M1 Chip With 8-Core Processor and 7-Core Graphics / 8GB RAM / 256GB SSD/ English Keyboard Grey ",2829.00
Apple iPhone 14 Pro 256GB Deep Purple 5G With FaceTime - Middle East Version ,3999.00
Sony DualSense Wireless Controller for PlayStation 5- Midnight Black (International Version) ,215.00
"Apple iPad 2021 (9th Generation) 10.2-Inch, 64GB, WiFi, Space Gray With Facetime - International Version ",1029.00
"Lg 24GQ50F-B 24-Inch Class Full HD (1920 x 1080) Ultragear Gaming Monitor with 165Hz and 1ms Motion Blur Reduction, AMD FreeSync Premium and 3-Side Virtually Borderless Design Black ",479.00
HP Smart Tank 515 Wireless All In One Printer Print Up To 18000 Black Or 8000 Color Pages Grey ,499.00
TCL 55 Inch 4K-Google Smart LED Ultra HDR TV 55P637 Black ,1199.00
Apple Airpods 2nd Gen With Charging Case White ,429.00
"Hisense E6H (55 Inch) 4K UHD Smart VIDAA TV, With Dolby Vision HDR, DTS Virtual X, Bluetooth And Wi-Fi (2022 NEW) 55E6H Black ",999.00
